AU_ID,Rowid,Year,Figure,Breakdown,Dissaggregation,Indicator,Outcome,Measure,Source,Yearlab
15,2372,2016,NA,Argyll and Bute,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
16,2373,2017,69,Argyll and Bute,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
17,2374,2014,NA,City of Edinburgh,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
18,2375,2015,NA,City of Edinburgh,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
19,2376,2016,NA,City of Edinburgh,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
20,2377,2017,94,City of Edinburgh,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
21,2378,2014,NA,Clackmannanshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
22,2379,2015,NA,Clackmannanshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
23,2380,2016,NA,Clackmannanshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
24,2381,2017,91,Clackmannanshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
25,2382,2014,NA,Dumfries and Galloway,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
26,2383,2015,NA,Dumfries and Galloway,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
27,2384,2016,NA,Dumfries and Galloway,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
28,2385,2017,76,Dumfries and Galloway,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
29,2386,2014,NA,Dundee City,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
30,2387,2015,NA,Dundee City,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
31,2388,2016,NA,Dundee City,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
32,2389,2017,98,Dundee City,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
33,2390,2014,NA,East Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
34,2391,2015,NA,East Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
35,2392,2016,NA,East Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
36,2393,2017,91,East Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
37,2394,2014,NA,East Dunbartonshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
38,2395,2015,NA,East Dunbartonshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
39,2396,2016,NA,East Dunbartonshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
40,2397,2017,91,East Dunbartonshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
41,2398,2014,NA,East Lothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
42,2399,2015,NA,East Lothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
43,2400,2016,NA,East Lothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
44,2401,2017,83,East Lothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
45,2402,2014,NA,East Renfrewshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
46,2403,2015,NA,East Renfrewshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
47,2404,2016,NA,East Renfrewshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
48,2405,2017,91,East Renfrewshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
49,2406,2014,NA,Falkirk,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
50,2407,2015,NA,Falkirk,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
51,2408,2016,NA,Falkirk,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
52,2409,2017,94,Falkirk,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
53,2410,2014,NA,Fife,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
54,2411,2015,NA,Fife,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
55,2412,2016,NA,Fife,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
56,2413,2017,92,Fife,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
57,2414,2014,NA,Glasgow City,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
58,2415,2015,NA,Glasgow City,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
59,2416,2016,NA,Glasgow City,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
60,2417,2017,96,Glasgow City,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
61,2418,2014,NA,Highland,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
62,2419,2015,NA,Highland,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
63,2420,2016,NA,Highland,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
64,2421,2017,70,Highland,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
65,2422,2014,NA,Inverclyde,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
66,2423,2015,NA,Inverclyde,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
67,2424,2016,NA,Inverclyde,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
68,2425,2017,93,Inverclyde,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
69,2426,2014,NA,Midlothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
70,2427,2015,NA,Midlothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
71,2428,2016,NA,Midlothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
72,2429,2017,84,Midlothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
73,2430,2014,NA,Moray,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
74,2431,2015,NA,Moray,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
75,2432,2016,NA,Moray,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
76,2433,2017,80,Moray,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
77,2434,2014,NA,Na h-Eileanan Siar,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
78,2435,2015,NA,Na h-Eileanan Siar,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
79,2436,2016,NA,Na h-Eileanan Siar,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
80,2437,2017,54,Na h-Eileanan Siar,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
81,2438,2014,NA,North Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
82,2439,2015,NA,North Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
83,2440,2016,NA,North Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
84,2441,2017,88,North Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
85,2442,2014,NA,North Lanarkshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
86,2443,2015,NA,North Lanarkshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
87,2444,2016,NA,North Lanarkshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
88,2445,2017,95,North Lanarkshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
89,2446,2014,NA,Orkney Islands,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
90,2447,2015,NA,Orkney Islands,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
91,2448,2016,NA,Orkney Islands,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
92,2449,2017,58,Orkney Islands,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
93,2450,2014,NA,Perth and Kinross,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
94,2451,2015,NA,Perth and Kinross,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
95,2452,2016,NA,Perth and Kinross,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
96,2453,2017,76,Perth and Kinross,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
97,2454,2014,NA,Renfrewshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
98,2455,2015,NA,Renfrewshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
99,2456,2016,NA,Renfrewshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
100,2457,2017,90,Renfrewshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
101,2458,2014,NA,Scottish Borders,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
102,2459,2015,NA,Scottish Borders,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
103,2460,2016,NA,Scottish Borders,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
104,2461,2017,76,Scottish Borders,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
105,2462,2014,NA,Shetland Islands,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
106,2463,2015,NA,Shetland Islands,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
107,2464,2016,NA,Shetland Islands,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
108,2465,2017,64,Shetland Islands,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
109,2466,2014,NA,South Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
110,2467,2015,NA,South Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
111,2468,2016,NA,South Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
112,2469,2017,87,South Ayrshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
113,2470,2014,NA,South Lanarkshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
114,2471,2015,NA,South Lanarkshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
115,2472,2016,NA,South Lanarkshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
116,2473,2017,91,South Lanarkshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
117,2474,2014,NA,Stirling,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
118,2475,2015,NA,Stirling,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
119,2476,2016,NA,Stirling,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
120,2477,2017,84,Stirling,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
121,2478,2014,NA,West Dunbartonshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
122,2479,2015,NA,West Dunbartonshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
123,2480,2016,NA,West Dunbartonshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
124,2481,2017,97,West Dunbartonshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
125,2482,2014,NA,West Lothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
126,2483,2015,NA,West Lothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
127,2484,2016,NA,West Lothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
128,2485,2017,91,West Lothian,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
129,2486,2014,61,Total,Scotland,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
130,2487,2015,73,Total,Scotland,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
131,2488,2016,83,Total,Scotland,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
132,2489,2017,87,Total,Scotland,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
133,2490,2018,92,Total,Scotland,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2018
134,2495,2014,NA,Rural,Urban Rural classification,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
135,2496,2015,31,Rural,Urban Rural classification,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
136,2497,2016,46,Rural,Urban Rural classification,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
137,2498,2017,56,Rural,Urban Rural classification,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
138,2491,2014,NA,Urban,Urban Rural classification,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
139,2492,2015,82,Urban,Urban Rural classification,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
140,2493,2016,90,Urban,Urban Rural classification,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
141,2494,2017,94,Urban,Urban Rural classification,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
142,2499,1998,99.6,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,1998
143,2500,1999,95.4,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,1999
144,2501,2000,95.9,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2000
145,2502,2001,96.4,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2001
146,2503,2002,96.1,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2002
147,2504,2003,99.3,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2003
148,2505,2004,104,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2004
149,2506,2005,105.9,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2005
150,2507,2006,110.4,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2006
151,2508,2007,115.3,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2007
152,2509,2008,103.5,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2008
153,2510,2009,92.8,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2009
154,2511,2010,92.8,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2010
155,2512,2011,88.1,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2011
156,2513,2012,91.6,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2012
157,2514,2013,94.8,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2013
158,2515,2014,76.5,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2014
159,2516,2015,76.5,Total,Scotland,Carbon footprint,Economy,Scotland's carbon footprint expressed in million tonnes of carbon dioxide equivalent,Scottish Government,2015
160,2947,NA,NA,NA,NA,Confidence of children and young people,Education,NA,NA,NA
161,5918,NA,NA,NA,NA,Contractually secure work,Fair work and business,NA,NA,NA
162,2517,2015,-0.8,Total,Scotland,Economic growth,Economy,The difference (percentage point) between GDP growth rate and the previous three year average,Office for National Statistics,2015
163,2518,2016,-1.1,Total,Scotland,Economic growth,Economy,The difference (percentage point) between GDP growth rate and the previous three year average,Office for National Statistics,2016
164,2519,2017,0.4,Total,Scotland,Economic growth,Economy,The difference (percentage point) between GDP growth rate and the previous three year average,Office for National Statistics,2017
165,2520,2018,0.5,Total,Scotland,Economic growth,Economy,The difference (percentage point) between GDP growth rate and the previous three year average,Office for National Statistics,2018
166,5919,2007,1.96,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
167,5920,2007.25,2.25,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
168,5921,2007.5,1.29,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
169,5922,2007.75,1.12,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
170,5923,2008,1.13,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
171,5924,2008.25,1.27,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
172,5925,2008.5,1.21,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
173,5926,2008.75,0.92,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
174,5927,2009,1.18,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
175,5928,2009.25,0.92,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
176,5929,2009.5,0.89,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
177,5930,2009.75,0.71,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
178,5931,2010,-0.66,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
179,5932,2010.25,-0.71,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
180,5933,2010.5,-0.33,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
181,5934,2010.75,0.63,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
182,5935,2011,0.31,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
183,5936,2011.25,1.01,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
184,5937,2011.5,0.79,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
185,5938,2011.75,0.52,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
186,5939,2012,0.57,Total,Scotland,Economic participation,Fair work and business,Scotland's position on labour market participation by measuring the gap between Scotland's employment rate and the rate of the best performing one of the other three countries in the UK in percentage points.,Labour Force Survey,
